刀盘结泥饼,黏土地层,原因因素
刀盘结泥饼,含水率高,原因因素
刀盘结泥饼,塑性指数高,原因因素
刀盘结泥饼,蒙脱石含量高,原因因素
刀盘结泥饼,泡沫注入量不足,原因因素
刀盘结泥饼,泡沫配比不合理,原因因素
刀盘结泥饼,渣土改良剂类型错误,原因因素
刀盘结泥饼,刀盘转速过低,原因因素
刀盘结泥饼,推进速度过快,原因因素
刀盘结泥饼,土仓压力过高,原因因素
刀盘结泥饼,刀盘开口率不足,原因因素
刀盘结泥饼,刀具布置不合理,原因因素
刀盘结泥饼,螺旋输送机磨损,原因因素
刀盘结泥饼,停机时间过长,原因因素
刀盘结泥饼,冷却系统不足,原因因素
刀盘结泥饼,配备了较大尺寸的限径肋板,原因因素
刀盘结泥饼,中心冲刷能力弱,原因因素
刀盘结泥饼,推进油缸推力大为增加,表现现象
刀盘结泥饼,刀盘驱动力矩经常维持在额定扭矩,表现现象
刀盘结泥饼,刀盘中心体温升加快甚至达到高温,表现现象
刀盘结泥饼,刀盘贯入度大为减少,表现现象
刀盘结泥饼,掘进速度降低,表现现象
黏土地层,塑性指数高,表现现象
黏土地层,含水率高,表现现象
含水率高,注入膨润土改良渣土流动性,措施方法
塑性指数高,增加泡沫剂注入比例降低黏性,措施方法
蒙脱石含量高,采用聚合物添加剂抑制黏土水化,措施方法
泡沫注入量不足,动态调整泡沫流量与FIR（膨胀率）,措施方法
泡沫配比不合理,优化发泡剂浓度（如1.5%~3%）,措施方法
渣土改良剂类型错误,更换为复合型泡沫（含抗黏成分）,措施方法
刀盘转速过低,提高转速增强切削破碎效果,措施方法
推进速度过快,降低推进速度匹配排土能力,措施方法
土仓压力过高,降低土压并加强螺旋机排土效率,措施方法
刀盘开口率不足,设计阶段优化开口率,措施方法
刀具布置不合理,拆除过密的固定刮刀,措施方法
刀具布置不合理,增加撕裂刀或中心刀比例,措施方法
螺旋输送机磨损,更换螺旋叶片或修复内壁光滑度,措施方法
螺旋输送机磨损,修复内壁光滑度,措施方法
螺旋输送机磨损,堆焊耐磨涂层延长寿命,措施方法
停机时间过长,停机时保持刀盘间歇转动防止黏土沉积,措施方法
冷却系统不足,增设刀盘内部冷却喷淋系统,措施方法
配备了较大尺寸的限径肋板,割除不受力的限径肋板,措施方法
中心冲刷能力弱,改进中心冲刷采用分臂分时方式,措施方法
刀盘结泥饼,高压进仓，清除已板结了的泥饼,措施方法
含水率高,同步注浆封闭掌子面减少渗水,措施方法
泡沫注入量不足,增设备用泡沫发生器避免中断,措施方法
土仓压力过高,开启备用排土闸门增加泄压通道,措施方法
土仓压力过高,注入压缩空气平衡压力,措施方法
停机时间过长,停机前注入防腐隔离剂防止黏土硬化,措施方法
冷却系统不足,优化冷却水管布局,措施方法
滞排,渣土黏性过大,原因因素
滞排,砂卵石地层,原因因素
滞排,塑性指数低,原因因素
滞排,大块障碍物,原因因素
滞排,螺旋输送机驱动功率、扭矩不足,原因因素
滞排,螺旋输送机设计参数不匹配,原因因素
滞排,长时间停机,原因因素
滞排,螺旋输送机叶片或外壳磨损严重，间隙过大,原因因素
滞排,排土口闸门开启度不足或被卡住,原因因素
滞排,改良剂注入孔堵塞,原因因素
滞排,土仓压力持续升高或剧烈波动 ,表现现象
滞排,螺旋输送机扭矩显著增大 ,表现现象
滞排,排土量明显减少或完全中断,表现现象
滞排,掘进速度减慢或停止,表现现象
滞排,渣土温度异常,表现现象
滞排,螺旋输送机壳体温度升高,表现现象
滞排,异常的声响,表现现象
渣土黏性过大,注入泡沫剂,措施方法
砂卵石地层,注入改良剂,措施方法
塑性指数低,添加泡沫剂或膨润土,措施方法
大块障碍物,反转排出,措施方法
大块障碍物,停机处理,措施方法
螺旋输送机驱动功率、扭矩不足,优化渣土改良,措施方法
螺旋输送机设计参数不匹配,搅拌棒优化,措施方法
螺旋输送机设计参数不匹配,螺旋机优化,措施方法
长时间停机,提前排空,措施方法
长时间停机,定期转动,措施方法
螺旋输送机叶片或外壳磨损严重，间隙过大,停机检修,措施方法
排土口闸门开启度不足或被卡住,检查清理,措施方法
改良剂注入孔堵塞,定期冲洗,措施方法
盾尾密封失效,密封系统设计缺陷,原因因素
盾尾密封失效,密封材料老化,原因因素
盾尾密封失效,盾尾刷组装有问题,原因因素
盾尾密封失效,钢板束及止浆板选型问题,原因因素
盾尾密封失效,密封件变形,原因因素
盾尾密封失效,管片拼装错台,原因因素
盾尾密封失效,油脂注入量不足,原因因素
盾尾密封失效,姿态控制不佳,原因因素
盾尾密封失效,盾尾未清理,原因因素
盾尾密封失效,推进力增加,表现现象
盾尾密封失效,推进速度减慢,表现现象
盾尾密封失效,刀盘转速改变,表现现象
盾尾密封失效,俯仰角超限,表现现象
盾尾密封失效,油脂泵压力显示异常低值,表现现象
盾尾密封失效,油脂压力传感器显示周期性骤降,表现现象
盾尾密封失效,注浆流量计与压力计数据不同步,表现现象
盾尾密封失效,土仓压力异常波动,表现现象
密封系统设计缺陷,优化设计,措施方法
